date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:33:05	1804/1804	---M--	200	added ('OK')	text/plain	date:Mon,%2020%20Sep%202021%2009:20:48%20GMT	https://www.lancaster.ac.uk/robots.txt		(from )
16:33:05	104525/104525	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2011:03:53%20GMT	https://www.lancaster.ac.uk/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web15/Site15/www.lancaster.ac.uk/index.html	(from )
16:33:07	324417/324417	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202022%2013:54:08%20GMT	https://www.lancaster.ac.uk/media/lancaster-university/style-assets/css/styles.min.css?v=1666619648	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web15/Site15/www.lancaster.ac.uk/media/lancaster-university/style-assets/css/styles.min3151.css	(from https://www.lancaster.ac.uk/)
16:33:07	3202/3202	---M--	200	added ('OK')	text/css	date:Thu,%2022%20Aug%202019%2011:35:04%20GMT	https://www.lancaster.ac.uk/media/lancaster-university/style-assets/css/font-face.css?v=1566473704	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web15/Site15/www.lancaster.ac.uk/media/lancaster-university/style-assets/css/font-face3090.css	(from https://www.lancaster.ac.uk/)
16:33:09	416/416	---M--	200	added ('OK')	application/javascript	date:Thu,%2025%20Feb%202021%2009:53:13%20GMT	https://www.lancaster.ac.uk/media/wdp/style-assets/javascript/lib/loadScript.js?v=1614246793	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web15/Site15/www.lancaster.ac.uk/media/wdp/style-assets/javascript/lib/loadScript0270.js	(from https://www.lancaster.ac.uk/)
16:33:10	89476/89476	---M--	200	added ('OK')	application/javascript	date:Tue,%2001%20Dec%202020%2009:39:04%20GMT	https://www.lancaster.ac.uk/media/wdp/style-assets/javascript/lib/thirdparty/jquery/jquery-3.5.1.min.js?v=1606815544	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web15/Site15/www.lancaster.ac.uk/media/wdp/style-assets/javascript/lib/thirdparty/jquery/jquery-3.5.1.mind472.js	(from https://www.lancaster.ac.uk/)
16:33:11	45717/45717	---M--	200	added ('OK')	application/javascript	date:Thu,%2016%20Jun%202022%2009:18:31%20GMT	https://www.lancaster.ac.uk/media/wdp/style-assets/javascript/lib/thirdparty/accessibleMegaMenu.min.js?v=1655371111	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web15/Site15/www.lancaster.ac.uk/media/wdp/style-assets/javascript/lib/thirdparty/accessibleMegaMenu.min570c.js	(from https://www.lancaster.ac.uk/)
16:33:12	6495/6495	---M--	200	added ('OK')	application/javascript	date:Fri,%2001%20Jul%202022%2016:06:11%20GMT	https://www.lancaster.ac.uk/media/wdp/style-assets/javascript/compiled/jspm/navigation.bundle.js?v=1656691571	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web15/Site15/www.lancaster.ac.uk/media/wdp/style-assets/javascript/compiled/jspm/navigation.bundle72c5.js	(from https://www.lancaster.ac.uk/)
16:33:13	5430/5430	---M--	200	added ('OK')	image/x-icon	date:Mon,%2024%20Jan%202022%2018:01:41%20GMT	https://www.lancaster.ac.uk/media/lancaster-university/style-assets/images/favicon.ico	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web15/Site15/www.lancaster.ac.uk/media/lancaster-university/style-assets/images/favicon.ico	(from https://www.lancaster.ac.uk/)
16:33:15	14448/14448	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jan%202022%2018:01:41%20GMT	https://www.lancaster.ac.uk/media/lancaster-university/style-assets/images/apple-touch-icon.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day3/Web15/Site15/www.lancaster.ac.uk/media/lancaster-university/style-assets/images/apple-touch-icon.png	(from https://www.lancaster.ac.uk/)
